,median,mean,std,lower_95,upper_95,lower_90,upper_90,lower_68,upper_68
17105,3.052642994390817,3.052642994390816,8.881784197001252e-16,3.052642994390817,3.052642994390817,3.052642994390817,3.052642994390817,3.052642994390817,3.052642994390817
17106,3.721751080500046,3.721751080500047,8.881784197001252e-16,3.721751080500046,3.721751080500046,3.721751080500046,3.721751080500046,3.721751080500046,3.721751080500046
17107,3.498624369088606,3.4986243690886045,1.3322676295501878e-15,3.498624369088606,3.498624369088606,3.498624369088606,3.498624369088606,3.498624369088606,3.498624369088606
17108,3.5206565976470987,3.520656597647097,1.7763568394002505e-15,3.5206565976470987,3.5206565976470987,3.5206565976470987,3.5206565976470987,3.5206565976470987,3.5206565976470987
17109,3.2355367648335838,3.2355367648335838,0.0,3.2355367648335838,3.2355367648335838,3.2355367648335838,3.2355367648335838,3.2355367648335838,3.2355367648335838
17110,2.8980836332856277,2.8980836332856277,0.0,2.8980836332856277,2.8980836332856277,2.8980836332856277,2.8980836332856277,2.8980836332856277,2.8980836332856277
17111,3.138758910496439,3.1387589104964397,8.881784197001252e-16,3.138758910496439,3.138758910496439,3.138758910496439,3.138758910496439,3.138758910496439,3.138758910496439
17112,3.0546607232013403,3.05466072320134,4.440892098500626e-16,3.0546607232013403,3.0546607232013403,3.0546607232013403,3.0546607232013403,3.0546607232013403,3.0546607232013403
17113,4.573972600927616,4.5739726009276165,8.881784197001252e-16,4.573972600927616,4.573972600927616,4.573972600927616,4.573972600927616,4.573972600927616,4.573972600927616
17114,5.476140240184409,5.690488041231866,0.8839247907635032,4.812708072706684,7.909282689064063,4.846463069616041,7.238100757710072,4.991335566147659,6.31872270797634
17115,3.28045316665848,3.280453166658481,8.881784197001252e-16,3.28045316665848,3.28045316665848,3.28045316665848,3.28045316665848,3.28045316665848,3.28045316665848
17116,3.4499631908922512,3.44996319089225,1.3322676295501878e-15,3.4499631908922512,3.4499631908922512,3.4499631908922512,3.4499631908922512,3.4499631908922512,3.4499631908922512
17117,3.4208306808634665,3.420830680863467,4.440892098500626e-16,3.4208306808634665,3.4208306808634665,3.4208306808634665,3.4208306808634665,3.4208306808634665,3.4208306808634665
17118,6.653099162850568,7.528139492930098,2.6913889845745333,4.853493852364603,14.454478887355483,4.920268359937364,12.823565804320866,5.253291692415412,10.160669292688917
17119,4.201582587508923,4.201582587508923,0.0,4.201582587508923,4.201582587508923,4.201582587508923,4.201582587508923,4.201582587508923,4.201582587508923
17120,3.1671566858292186,3.167156685829219,4.440892098500626e-16,3.1671566858292186,3.1671566858292186,3.1671566858292186,3.1671566858292186,3.1671566858292186,3.1671566858292186
